sourceUrl,file,status,note
"https://static.wixstatic.com/media/41554d_71d4f1f7b6c64303a3a54d0843111cd0~mv2.jpg/IMG_1399_edited.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_7695494b18294cbdada125d00965fa99~mv2.jpeg/41554d_7695494b18294cbdada125d00965fa99~mv2.jpeg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_76a40c65e85346d9869963524ee013cb~mv2_d_1422_1440_s_2.jpg/41554d_76a40c65e85346d9869963524ee013cb~mv2_d_1422_1440_s_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_77745d5643f24d81acd9e8ac0e617158~mv2.png/41554d_77745d5643f24d81acd9e8ac0e617158~mv2.png","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_77d675184ebe4e12a32eca7ddda6db30~mv2.jpg/41554d_77d675184ebe4e12a32eca7ddda6db30~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_7c18e2f2b9a24151b19bdd59b6829676~mv2.jpg/41554d_7c18e2f2b9a24151b19bdd59b6829676~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_7c265a5560894586887c6ec8ae90d76c~mv2.jpg/41554d_7c265a5560894586887c6ec8ae90d76c~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_858d50c199d643e789456f6499a94fbe~mv2.jpg/CREATURE_edited.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_864e263247a24151bbccf88bf85cf3d2.jpg/41554d_864e263247a24151bbccf88bf85cf3d2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_86b2b2f28ca74312848684d4234ee7ca~mv2.jpg/IMG_9167_edited.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_882fb1dacc904cb2838e4eb85aa4bc49~mv2.png/AGGIE-ANATOMY-HEADSHOT_2025.png","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_8e4841438cb1488f82232f0d1d622b4b~mv2.jpg/41554d_8e4841438cb1488f82232f0d1d622b4b~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_8f054e167f084fbb8560424cd13dec60~mv2.jpg","backup/media/41554d_8f054e167f084fbb8560424cd13dec60_mv2.jpg","saved","image/jpeg; 22363 bytes"
"https://static.wixstatic.com/media/41554d_8f054e167f084fbb8560424cd13dec60~mv2.jpg/41554d_8f054e167f084fbb8560424cd13dec60~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_8f054e167f084fbb8560424cd13dec60~mv2.jpg/v1/fill/w_735,h_420,al_c,lg_1,q_80/41554d_8f054e167f084fbb8560424cd13dec60~mv2.jpg","backup/media/41554d_8f054e167f084fbb8560424cd13dec60_mv2.jpg","saved","image/jpeg; 22623 bytes"
"https://static.wixstatic.com/media/41554d_9048dd647922454791d7b8301b2932ac~mv2.jpg/41554d_9048dd647922454791d7b8301b2932ac~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_904fe2e15e0d4365ad60c0ae097c8c3c~mv2.jpeg/41554d_904fe2e15e0d4365ad60c0ae097c8c3c~mv2.jpeg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_90918f47ca664ccbbdcd429107293a8c.jpg/41554d_90918f47ca664ccbbdcd429107293a8c.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_90a85fb4415e4971a6503fffbcfad6f3~mv2.jpg/MUMMY-yellow_edited.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_938caa67821a4f529662f8b3f16dd74b~mv2_d_3300_2550_s_4_2.jpg/41554d_938caa67821a4f529662f8b3f16dd74b~mv2_d_3300_2550_s_4_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_97cff970a5634fba93b17847d32e80c6~mv2.jpg/41554d_97cff970a5634fba93b17847d32e80c6~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_9921a735b8ed4501980804f7c9713c9c~mv2_d_3300_2550_s_4_2.jpg/41554d_9921a735b8ed4501980804f7c9713c9c~mv2_d_3300_2550_s_4_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_9f89993e01b840cb8ee3d9baf42a57f9~mv2.jpg/Hoodie_Mockup_2024.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_a3425a88f0a144359c4d3f03b3965d68~mv2_d_3300_2550_s_4_2.jpg/41554d_a3425a88f0a144359c4d3f03b3965d68~mv2_d_3300_2550_s_4_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_a42ebf251c3e47709eed8c9e046781ec~mv2_d_3000_3000_s_4_2.jpg/41554d_a42ebf251c3e47709eed8c9e046781ec~mv2_d_3000_3000_s_4_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_a48c07baeaba46fbbe2bbca851d1da2d~mv2_d_1356_1753_s_2.jpg/41554d_a48c07baeaba46fbbe2bbca851d1da2d~mv2_d_1356_1753_s_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_a658c50c73af4017ad9ae8f8ba8a4f3b~mv2_d_3300_2550_s_4_2.jpg/41554d_a658c50c73af4017ad9ae8f8ba8a4f3b~mv2_d_3300_2550_s_4_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_ab409297637d43d28082349b0019259c~mv2.jpg/41554d_ab409297637d43d28082349b0019259c~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_ac32a4557da540b4b4ff3cf151a81542~mv2.jpeg/41554d_ac32a4557da540b4b4ff3cf151a81542~mv2.jpeg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_ac81d5d03fff400b8af10b2343e4202c.jpg/41554d_ac81d5d03fff400b8af10b2343e4202c.jpg","","failed","403 Forbidden"
